id,organization,sector,region,country,annual_consumption_mwh,current_renewable_pct,grid_carbon_intensity_gco2_kwh,esg_pressure,contract_renewal_months,data_quality,lead_score,tier,buying_stage,estimated_annual_opportunity_value,recommended_offering,rationale,esg_pressure_label
SYN-001452,India Steel Works 1452,Steel,India,India,29835674.4,8.6,731.8,0.535,2.3,synthetic,83.09,A,In Renewal Window,66987056.16,Corporate PPA,"29,835,674 MWh/yr; 91% decarbonization gap; grid 732 gCO2/kWh; in renewal window (~2 mo to renewal); ESG pressure medium.",Medium
SYN-002532,China Semiconductor Works 2532,Semiconductor,China,China,11821907.7,10.1,639.3,0.616,3.9,synthetic,81.53,A,In Renewal Window,48076152.04,Corporate PPA,"11,821,908 MWh/yr; 90% decarbonization gap; grid 639 gCO2/kWh; in renewal window (~4 mo to renewal); ESG pressure medium.",Medium
REAL-0025,Hongqiao Group,Aluminium,China,China,55000000.0,12.0,580.0,0.55,9.0,public-estimate,81.43,A,Evaluating,140140000.0,Corporate PPA,"55,000,000 MWh/yr; 88% decarbonization gap; grid 580 gCO2/kWh; evaluating (~9 mo to renewal); ESG pressure medium.",Medium
REAL-0024,Chinalco (Aluminum Corp. of China),Aluminium,China,China,60000000.0,15.0,580.0,0.55,10.0,public-estimate,80.94,A,Evaluating,149100000.0,Corporate PPA,"60,000,000 MWh/yr; 85% decarbonization gap; grid 580 gCO2/kWh; evaluating (~10 mo to renewal); ESG pressure medium.",Medium
SYN-002285,China Steel Works 2285,Steel,China,China,33992018.8,8.1,546.6,0.62,3.6,synthetic,80.49,A,In Renewal Window,76624808.78,Corporate PPA,"33,992,019 MWh/yr; 92% decarbonization gap; grid 547 gCO2/kWh; in renewal window (~4 mo to renewal); ESG pressure medium.",Medium
REAL-0017,China Baowu Steel Group,Steel,China,China,45000000.0,6.0,580.0,0.55,10.0,public-estimate,80.3,A,Evaluating,103140000.0,Corporate PPA,"45,000,000 MWh/yr; 94% decarbonization gap; grid 580 gCO2/kWh; evaluating (~10 mo to renewal); ESG pressure medium.",Medium
SYN-009134,India Steel Mill 9134,Steel,India,India,24353391.2,18.7,781.6,0.513,3.0,synthetic,80.29,A,In Renewal Window,50250787.4,Corporate PPA,"24,353,391 MWh/yr; 81% decarbonization gap; grid 782 gCO2/kWh; in renewal window (~3 mo to renewal); ESG pressure medium.",Medium
SYN-004071,China Cloud Campus 4071,Data Center / Hyperscaler,China,China,14786670.8,20.2,620.1,0.485,3.6,synthetic,80.23,A,In Renewal Window,70260344.97,Corporate PPA,"14,786,671 MWh/yr; 80% decarbonization gap; grid 620 gCO2/kWh; in renewal window (~4 mo to renewal); ESG pressure medium.",Medium
SYN-006330,India Light Metals 6330,Aluminium,India,India,50962876.1,16.0,772.1,0.359,15.6,synthetic,80.01,A,Evaluating,125572526.71,Corporate PPA,"50,962,876 MWh/yr; 84% decarbonization gap; grid 772 gCO2/kWh; evaluating (~16 mo to renewal); ESG pressure medium.",Medium
SYN-004703,China Cloud Campus 4703,Data Center / Hyperscaler,China,China,16274223.8,28.2,630.5,0.552,4.5,synthetic,79.69,A,In Renewal Window,71860462.61,Corporate PPA,"16,274,224 MWh/yr; 72% decarbonization gap; grid 630 gCO2/kWh; in renewal window (~4 mo to renewal); ESG pressure medium.",Medium
SYN-003412,India Steel Mill 3412,Steel,India,India,25784412.1,12.6,684.9,0.435,3.1,synthetic,79.57,A,In Renewal Window,56034684.38,Corporate PPA,"25,784,412 MWh/yr; 87% decarbonization gap; grid 685 gCO2/kWh; in renewal window (~3 mo to renewal); ESG pressure medium.",Medium
SYN-003780,India Foundry 3780,Semiconductor,India,India,24467744.0,31.2,760.6,0.488,11.9,synthetic,79.37,A,Evaluating,82466084.38,Corporate PPA,"24,467,744 MWh/yr; 69% decarbonization gap; grid 761 gCO2/kWh; evaluating (~12 mo to renewal); ESG pressure medium.",Medium
SYN-005570,China Metalworks 5570,Steel,China,China,25607725.4,11.6,620.0,0.528,2.8,synthetic,79.31,A,In Renewal Window,56111647.9,Corporate PPA,"25,607,725 MWh/yr; 88% decarbonization gap; grid 620 gCO2/kWh; in renewal window (~3 mo to renewal); ESG pressure medium.",Medium
REAL-0020,Tata Steel,Steel,India,India,22000000.0,6.0,700.0,0.45,8.0,public-estimate,79.14,A,Evaluating,50424000.0,Corporate PPA,"22,000,000 MWh/yr; 94% decarbonization gap; grid 700 gCO2/kWh; evaluating (~8 mo to renewal); ESG pressure medium.",Medium
SYN-005977,India Metalworks 5977,Steel,India,India,15858081.8,7.5,721.6,0.455,4.0,synthetic,79.04,A,In Renewal Window,35918555.28,Corporate PPA,"15,858,082 MWh/yr; 92% decarbonization gap; grid 722 gCO2/kWh; in renewal window (~4 mo to renewal); ESG pressure medium.",Medium
SYN-006272,China Steel Works 6272,Steel,China,China,17897449.1,5.0,627.0,0.577,4.9,synthetic,79.03,A,In Renewal Window,41343107.42,Corporate PPA,"17,897,449 MWh/yr; 95% decarbonization gap; grid 627 gCO2/kWh; in renewal window (~5 mo to renewal); ESG pressure medium.",Medium
SYN-001337,China Semiconductor Works 1337,Semiconductor,China,China,21117515.9,10.7,642.2,0.518,18.3,synthetic,78.83,A,Early / Long Horizon,85460475.1,Corporate PPA,"21,117,516 MWh/yr; 89% decarbonization gap; grid 642 gCO2/kWh; early / long horizon (~18 mo to renewal); ESG pressure medium.",Medium
SYN-003955,India Steel Mill 3955,Steel,India,India,18018435.0,13.8,712.6,0.488,2.9,synthetic,78.82,A,In Renewal Window,38768464.75,Corporate PPA,"18,018,435 MWh/yr; 86% decarbonization gap; grid 713 gCO2/kWh; in renewal window (~3 mo to renewal); ESG pressure medium.",Medium
SYN-003216,China Metalworks 3216,Steel,China,China,17244400.4,4.8,628.4,0.537,4.0,synthetic,78.8,A,In Renewal Window,39896644.77,Corporate PPA,"17,244,400 MWh/yr; 95% decarbonization gap; grid 628 gCO2/kWh; in renewal window (~4 mo to renewal); ESG pressure medium.",Medium
SYN-002057,China Data Hub 2057,Data Center / Hyperscaler,China,China,13702003.7,32.4,644.2,0.586,4.4,synthetic,78.71,A,In Renewal Window,58085534.09,Corporate PPA,"13,702,004 MWh/yr; 68% decarbonization gap; grid 644 gCO2/kWh; in renewal window (~4 mo to renewal); ESG pressure medium.",Medium
REAL-0011,TSMC,Semiconductor,East Asia (ex-China),Taiwan,25000000.0,11.0,450.0,0.7,14.0,public-estimate,78.56,A,Evaluating,100925000.0,Corporate PPA,"25,000,000 MWh/yr; 89% decarbonization gap; grid 450 gCO2/kWh; evaluating (~14 mo to renewal); ESG pressure high.",High
SYN-004217,India Aluminium Smelter 4217,Aluminium,India,India,32883579.3,18.0,642.3,0.544,11.1,synthetic,78.48,A,Evaluating,79644029.06,Corporate PPA,"32,883,579 MWh/yr; 82% decarbonization gap; grid 642 gCO2/kWh; evaluating (~11 mo to renewal); ESG pressure medium.",Medium
SYN-006798,India Steel Works 6798,Steel,India,India,25031349.9,11.5,690.8,0.513,10.2,synthetic,78.41,A,Evaluating,54893750.33,Corporate PPA,"25,031,350 MWh/yr; 88% decarbonization gap; grid 691 gCO2/kWh; evaluating (~10 mo to renewal); ESG pressure medium.",Medium
REAL-0038,Sinopec (Chemicals),Chemicals,China,China,24000000.0,6.0,580.0,0.55,11.0,public-estimate,78.27,A,Evaluating,73344000.0,Corporate PPA,"24,000,000 MWh/yr; 94% decarbonization gap; grid 580 gCO2/kWh; evaluating (~11 mo to renewal); ESG pressure medium.",Medium
SYN-009512,China Foundry 9512,Semiconductor,China,China,21660617.9,11.8,555.1,0.573,15.5,synthetic,78.26,A,Evaluating,86872074.15,Corporate PPA,"21,660,618 MWh/yr; 88% decarbonization gap; grid 555 gCO2/kWh; evaluating (~16 mo to renewal); ESG pressure medium.",Medium
SYN-009096,East Asia Steel Works 9096,Steel,East Asia (ex-China),Japan,25829885.7,4.3,444.4,0.657,3.6,synthetic,78.16,A,In Renewal Window,59992492.53,Corporate PPA,"25,829,886 MWh/yr; 96% decarbonization gap; grid 444 gCO2/kWh; in renewal window (~4 mo to renewal); ESG pressure medium.",Medium
